lhx,lhy,lhz,rhx,rhy,rhz,hx,hy,hz,sx,sy,sz,lwx,lwy,lwz,rwx,rwy,rwz,timestamp,phase
1.197867,5.50298,2.154376,3.937746,5.555298,2.194409,2.844247,1.282464,2.274105,2.693945,3.979356,2.300664,1.309632,5.117686,2.186277,3.868249,5.1086,2.228558,2730074,Rest
1.192058,5.508098,2.154468,3.937706,5.55561,2.194491,2.839868,1.282502,2.273562,2.690112,3.980755,2.300256,1.304048,5.119483,2.186436,3.867365,5.108905,2.22852,2730104,Rest
1.186308,5.513601,2.154882,3.937459,5.556025,2.194566,2.835107,1.282233,2.273048,2.686677,3.982062,2.299877,1.298797,5.121308,2.18669,3.866469,5.109274,2.228481,2730138,Rest
1.180775,5.519557,2.155479,3.93706,5.556473,2.19465,2.827072,1.281816,2.272159,2.683564,3.983273,2.299529,1.294028,5.123456,2.187033,3.865429,5.109667,2.228457,2730172,Rest
1.175917,5.525742,2.156359,3.936461,5.557368,2.194719,2.819219,1.281443,2.271338,2.681415,3.984002,2.299279,1.290128,5.125873,2.187587,3.864396,5.110392,2.228374,2730207,Rest
1.172126,5.530456,2.157276,3.935943,5.557855,2.194791,2.811446,1.281142,2.270557,2.680272,3.983953,2.299151,1.286943,5.127789,2.188317,3.863809,5.110656,2.228342,2730234,Rest
1.169319,5.533823,2.158192,3.935296,5.558256,2.194854,2.804036,1.280784,2.269835,2.679783,3.983397,2.299089,1.284822,5.129074,2.189123,3.863183,5.110798,2.22828,2730273,Rest
1.166915,5.536702,2.159108,3.93449,5.557911,2.194963,2.796752,1.280568,2.269126,2.679474,3.982406,2.299033,1.283085,5.130134,2.189953,3.862318,5.110145,2.228235,2730303,Rest
1.164866,5.539343,2.160088,3.933713,5.557398,2.195079,2.789486,1.280462,2.268426,2.679255,3.980967,2.298977,1.281644,5.131115,2.190879,3.861505,5.109312,2.228195,2730335,Rest
1.163126,5.541965,2.161151,3.932531,5.555869,2.195261,2.782404,1.280361,2.267719,2.679289,3.977205,2.298942,1.280456,5.132073,2.191859,3.860214,5.107207,2.228143,2730371,Rest
1.161481,5.544905,2.162487,3.931584,5.554492,2.19539,2.775778,1.280257,2.26706,2.67956,3.972804,2.298911,1.279358,5.133082,2.19298,3.859112,5.105213,2.228052,2730406,Rest
1.159848,5.548554,2.164294,3.930882,5.553047,2.195414,2.769675,1.280141,2.266452,2.679939,3.968437,2.298889,1.278368,5.134068,2.194125,3.858072,5.103132,2.227908,2730437,Rest
1.15825,5.551999,2.166082,3.930245,5.551355,2.195336,2.763954,1.28002,2.265868,2.6803,3.964282,2.298864,1.277317,5.134995,2.195272,3.857087,5.100934,2.227707,2730473,Rest
1.156626,5.555353,2.167844,3.929735,5.5498,2.195171,2.758533,1.279954,2.2653,2.680675,3.960452,2.298832,1.276355,5.136024,2.196439,3.85623,5.098907,2.227409,2730505,Rest
1.155024,5.558402,2.169529,3.929222,5.547947,2.194865,2.753505,1.279839,2.264765,2.681077,3.956804,2.298796,1.275265,5.137037,2.197673,3.855428,5.096747,2.227005,2730539,Rest
1.153505,5.561236,2.171145,3.928608,5.545659,2.194417,2.748805,1.279753,2.264253,2.681461,3.953517,2.298741,1.274296,5.138042,2.198894,3.854573,5.094438,2.226547,2730571,Rest
1.151932,5.563745,2.172626,3.928151,5.545648,2.193453,2.74438,1.279684,2.263751,2.68188,3.950772,2.298668,1.273266,5.138974,2.200068,3.854081,5.094304,2.225466,2730607,Rest
1.150277,5.56599,2.173983,3.927155,5.545403,2.19235,2.740241,1.2796,2.263259,2.682281,3.949457,2.298548,1.272293,5.139833,2.201145,3.853357,5.094059,2.224428,2730643,Rest
1.148205,5.568233,2.175305,3.925987,5.548366,2.190637,2.736478,1.279553,2.262801,2.682602,3.948476,2.298403,1.270901,5.14072,2.202184,3.852102,5.096935,2.222457,2730675,Rest
1.14612,5.570405,2.176553,3.924416,5.549845,2.18919,2.733022,1.279531,2.262365,2.682871,3.94769,2.298252,1.26947,5.141598,2.203147,3.850253,5.09833,2.220834,2730705,Rest
1.144103,5.57231,2.177658,3.922552,5.549171,2.188042,2.729845,1.27952,2.261937,2.683137,3.946992,2.298091,1.268162,5.142409,2.20402,3.848148,5.097467,2.219542,2730743,Rest
1.142185,5.574025,2.178664,3.920513,5.547853,2.186971,2.72689,1.279511,2.261532,2.683397,3.946387,2.297926,1.267048,5.143113,2.204771,3.846089,5.095986,2.218396,2730777,Rest
1.140435,5.575508,2.17957,3.918233,5.546009,2.185911,2.724096,1.27951,2.261134,2.683678,3.945823,2.297758,1.26604,5.143689,2.20544,3.844004,5.094127,2.217364,2730807,Rest
1.13876,5.576781,2.180404,3.915771,5.544692,2.184747,2.721496,1.279532,2.260743,2.683966,3.945302,2.297592,1.265095,5.144158,2.206058,3.841825,5.092873,2.216291,2730841,Rest
1.137174,5.577931,2.18116,3.913275,5.543163,2.183634,2.719014,1.279581,2.260353,2.684213,3.944956,2.297406,1.264249,5.144589,2.206614,3.839744,5.091444,2.215291,2730875,Rest
1.13564,5.578965,2.181859,3.910957,5.541907,2.182577,2.716712,1.279613,2.259982,2.684466,3.944631,2.297217,1.263496,5.14496,2.207104,3.837877,5.090255,2.214336,2730906,Rest
1.134217,5.579914,2.182502,3.90884,5.540847,2.181591,2.71455,1.27966,2.259626,2.684719,3.94433,2.297029,1.262837,5.145279,2.207529,3.836217,5.089275,2.213462,2730939,Rest
1.132917,5.580711,2.183085,3.906915,5.54003,2.180665,2.712594,1.279721,2.259288,2.684973,3.944041,2.296845,1.262279,5.145514,2.207901,3.834713,5.088531,2.212646,2730971,Rest
1.13167,5.581428,2.183633,3.905129,5.538963,2.179816,2.710729,1.279767,2.258939,2.68522,3.94376,2.296658,1.261734,5.145709,2.208249,3.833376,5.087532,2.211889,2731005,Rest
1.13045,5.582069,2.184141,3.903433,5.537817,2.179042,2.709182,1.279722,2.25856,2.685404,3.94346,2.296466,1.261196,5.145878,2.208575,3.832088,5.086446,2.211192,2731037,Rest
1.129344,5.582613,2.184588,3.901658,5.53676,2.178253,2.708008,1.279634,2.25814,2.685528,3.943174,2.296258,1.260791,5.146002,2.208834,3.830482,5.085307,2.210379,2731073,Rest
1.128497,5.583092,2.184948,3.900037,5.535941,2.177506,2.707446,1.279642,2.257669,2.685559,3.942881,2.29604,1.260462,5.146121,2.209063,3.82898,5.084416,2.209609,2731103,Rest
1.127762,5.583571,2.185265,3.898547,5.535238,2.176804,2.707819,1.279636,2.257158,2.685373,3.942714,2.295736,1.260251,5.146246,2.209233,3.827567,5.083651,2.208883,2731144,Rest
1.127285,5.584436,2.185593,3.897258,5.535112,2.176061,2.708692,1.279608,2.256672,2.6847,3.942991,2.295288,1.260022,5.146524,2.209377,3.826427,5.083507,2.208159,2731171,Rest
1.126761,5.586328,2.185984,3.896111,5.534716,2.175302,2.710493,1.279666,2.256196,2.683472,3.943791,2.294702,1.259589,5.147295,2.209505,3.825251,5.083227,2.207491,2731207,Rest
1.126767,5.587192,2.186191,3.895836,5.538791,2.173831,2.712844,1.279764,2.25572,2.680943,3.946049,2.293744,1.259228,5.14825,2.209524,3.825288,5.087219,2.206023,2731237,Rest
1.126801,5.588199,2.186347,3.896072,5.543116,2.172325,2.715436,1.27977,2.255281,2.677298,3.949423,2.292511,1.258648,5.149543,2.209474,3.825355,5.091553,2.204621,2731271,Rest
1.126792,5.589318,2.186365,3.896739,5.547142,2.171093,2.718241,1.279848,2.254837,2.673331,3.953107,2.291215,1.257384,5.151283,2.209221,3.825416,5.095676,2.203386,2731306,Rest
1.126868,5.590711,2.186243,3.897568,5.550575,2.170251,2.721021,1.280032,2.254411,2.669144,3.956677,2.289915,1.25528,5.15344,2.208621,3.825496,5.099232,2.202408,2731343,Rest
